"","x"
"Number of MRMR features","22"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","267.735365758704"
"Ridge","270.322917019113"
"Elastic net","261.970514054033"
"Random forest","189.930534010869"
"KDPI","328.817604602099"
