"","x"
"Number of MRMR features","40"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.86875"
"Ridge","0.875255899215078"
"Elastic net","0.859708523877779"
"Random forest","0.947146739130435"
"KDPI","0.528469266241005"
