"","x"
"Number of MRMR features","26"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","285.390140117853"
"Ridge","276.086473204243"
"Elastic net","281.229516328685"
"Random forest","191.129193421592"
"KDPI","338.08254727021"
