"","x"
"Number of MRMR features","9"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.695484087852981"
"Ridge","0.69276137500592"
"Elastic net","0.694227649507153"
"Random forest","0.882336956521739"
"KDPI","0.529009258126039"
