"","x"
"Number of MRMR features","40"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","309.518372295745"
"Ridge","301.248009559794"
"Elastic net","295.173776070766"
"Random forest","162.844456856701"
"KDPI","333.253379219421"
